index,year,count,sentiment,song,singer,line
245,2016,4,0,Misconceptions 3,Jgivens,They shocked to see us like Donald Trump up in a taqueria
246,2016,5,0,My Speech (Queen's Speech Remix),Sik World,Tryna battle me's dumb / Like a Mexican voting for Donald Trump
247,2016,6,0,Pop Style (Remix),Devvon Terrell,You want official like Donald Trump hair
248,2016,7,0,Slenderman,Germ,"That gives no fuck, like Trump and such"
249,2016,8,0,World War 6,Boosie Badazz,"If Trump wins, heå�s saying heå�s building the wall to stop the dope"
250,2016,9,1,Bars,Migos,Billionaire looking my way I‰Ûªm on pace / Feeling like Donald Trump back in the day
251,2016,10,1,Hard (Freestyle),"Royce Da 5'9""",I'm flyer than Mos Def in a Trump tower surrounded by four chefs
252,2016,11,1,Out Here,The Weeknd,I'm out here in the Trump Tower
253,2016,12,1,Which Is Cool,Royce da 5‰Ûª9‰Û�,"Like Tommy Lee and Pam Anderson, I'm in the Trump Tower"
254,2016,13,2,Bad Boy on Death Row,Dave East,"Donald Trump ain't safe on my block, gotcha your wifey at IHOP"
255,2016,14,2,Castle,Kevin Gates,I just told Donald Trump think about if you came from rubble
256,2016,15,2,CIT4DT,Dooley,We got a chopper in the trunk for Donald Trump
257,2016,16,2,Come Again,Rockie Fresh,We fucking up if we let Trump in the office
258,2016,17,2,Come Down (Remix),T.I.,"I fantasize shooting Trump down, A shot for every black man who got gunned down"
259,2016,18,2,Digest It,Tiara,"The world gon' end real soon, especially if Trump gets elected"
260,2016,19,2,Dope,T.I.,"Where I stay all they say is ‰ÛÏFuck Trump‰Û�, all day"
261,2016,20,2,FDT (Fuck Donald Trump),YG & Nipsey Hussle,Fuck Donald Trump
262,2016,21,2,FLEM,A$AP Ferg,"Trump win, I'm flying off the soil"
263,2016,22,2,I Need,Croosh,I want to buy Donald Trump and sell him to El Chapo
264,2016,23,2,No Smoke,Montana of 300,It's fuck all you n----s like Trump
265,2016,24,2,Nobody Speak,El-P,Flame your crew quicker than Trump fucks his youngest
266,2016,25,2,Red Drops,Limbz,My main problem with Trump is how he uses money as distortion / Shows that one man's cash can be everyone's misfortune
267,2016,26,2,Thought U Lost It,Caskey,Our country-fucked if I'm assessin' the candidates / If Donald Trump wins maybe a man of space
268,2016,27,2,Wicked Freestyle,Jadakiss,Got the cuban sitting on the fuck Trump crewneck
269,2017,0,4,4,4,4
